Dim1,Dim2,label,names
0.42269087,14.338093,0,Speaker26_001.wav
8.300727,11.32377,2,Speaker30_001.wav
0.04166726,15.340778,0,Speaker26_000.wav
8.019361,12.235035,2,Speaker30_000.wav
0.7078185,15.0392885,0,Speaker26_002.wav
-0.22265926,14.722569,0,Speaker26_003.wav
7.6179175,11.49453,2,Speaker30_002.wav
8.722062,11.997868,2,Speaker30_003.wav
-1.0586301,-4.743518,1,Speaker0040_000.wav
-0.10906568,-4.0349517,1,Speaker0040_001.wav
-0.3807029,-4.86576,1,Speaker0040_002.wav
-0.85775495,-4.009044,1,Speaker0040_003.wav
